college_name,location,num_courses_offered,college_rating,exams_accepted,exam_count,min_fees,max_fees,avg_fees,placement_rating,min_package,max_package,avg_package
VIT Vellore,Vellore,26,4.2,VITEEE,1,4.87,7.8,6.34,4.2,,,
IIT Bombay - Indian Institute of Technology,Mumbai,25,4.6,JEE Main / JEE Advanced,2,8.0,10.0,9.0,4.6,17.92,19.63,18.77
DTU - Delhi Technological University,Delhi,20,4.3,JEE Main / JAC Delhi,2,5.32,7.4,6.36,4.4,,,
IIT Delhi - Indian Institute of Technology,Delhi,17,4.5,JEE Main / JEE Advanced,2,8.0,8.35,8.18,4.5,20.0,22.0,21.0
BITS Pilani - Birla Institute of Technology and Science,Pilani,10,4.4,BITSAT,1,20.76,61.49,41.12,4.4,16.15,16.15,16.15
"SRM Institute of Science and Technology, Kattankulathur",Chennai,55,4.0,JEE Main / SRMJEEE,2,11.0,23.75,17.38,3.9,,,
NIT Trichy - National Institute of Technology,Tiruchirappalli,9,4.3,JEE Main / DASA UG,2,5.0,5.0,5.0,4.5,,,
LPU - Lovely Professional University,Jalandhar,75,4.3,JEE Main / LPU NESTCUETCBSE 12th / ISCPSEB 12th +5,8,8.4,16.0,12.2,4.3,7.07,7.07,7.07
Chandigarh University (CU),Chandigarh,41,4.2,CBSE 12th / ISCPSEB 12th / CUCET Chandigarh University +2,5,5.7,14.0,9.85,4.2,,,
Kalasalingam Academy of Research and Education,Virudhunagar,18,3.9,JEE Main,1,4.0,7.4,5.7,3.9,6.75,6.75,6.75
MIT-WPU,Pune,44,4.1,MHT CETJEE Main / PERA CETCBSE 12th / ISCMaharashtra HSCCBSE 10th / ICSEMaharashtra SSCNEET +9,13,7.2,17.0,12.1,4.0,,,
"Manipal University, Jaipur",Jaipur,32,4.1,JEE Main / METJEE Advanced / CUETSAT India +3,6,4.69,18.04,11.36,4.1,7.5,7.5,7.5
Graphic Era Deemed to be University,Dehradun,26,4.1,JEE Main / CBSE 12th / ISCUK 12th / CUET +4,8,10.4,14.8,12.6,4.1,7.25,7.25,7.25
MNNIT Allahabad - Motilal Nehru National Institute of Technology,Allahabad,9,4.1,JEE Main / DASA UG,2,5.0,6.92,5.96,4.1,11.4,11.4,11.4
UPES,Dehradun,2,3.8,JEE Main / UPESEATCUETSAT India +3,5,9.94,17.71,13.82,3.8,6.5,6.5,6.5
"Vignan's Foundation for Science, Technology and Research",Guntur,19,4.1,JEE Main / AP EAMCETJEE Advanced / VSAT +3,6,6.2,14.4,10.3,4.1,6.96,6.96,6.96
Shoolini University,Solan,36,4.2,JEE Main / SAT India / CUETNEET +3,6,5.88,13.58,9.73,4.2,2.75,4.0,3.38
"Amity University, Kolkata",Kolkata,8,4.1,CUETCBSE 12th / ISCWBCHSE +3,5,6.76,9.84,8.3,3.4,,,
Hindustan Institute of Technology and Science,Chennai,29,3.7,HITSEEE,1,4.76,13.02,8.89,3.7,4.5,4.5,4.5
"Amity University, Jaipur",Jaipur,17,3.8,JEE Main / CUETCBSE 12th / ISCRBSE 12th / Rajasthan JET Agriculture +4,8,5.76,12.8,9.28,3.8,3.39,4.5,3.94
"Chitkara University, Chandigarh",Chandigarh,3,3.8,JEE Main / CBSE 12th / ISCPSEB 12th +3,6,7.2,10.6,8.9,3.8,8.5,8.5,8.5
"Jain Deemed-to-be University, Bangalore",Bangalore,11,3.8,JEE Main / COMEDK UGETKCETUni-GAUGEJET +4,6,7.8,9.0,8.4,3.8,7.78,7.78,7.78
"Amity University, Gurugram",Gurgaon,21,4.0,JEE Main / CUETCBSE 12th / ISCHBSE 12th +3,6,8.24,18.0,13.12,4.0,3.6,4.81,4.2
The NorthCap University,Gurgaon,19,3.9,JEE Main / CUET,2,9.0,9.89,9.44,3.9,5.2,5.5,5.35
"VELS Institute of Science, Technology and Advanced Studies (VISTAS)",Chennai,8,3.4,CBSE 12th / ISCTamilnadu 12th +1,3,2.96,12.0,7.48,4.0,,,
"University College of Engineering, Adikavi Nannaya University",Rajahmundry,6,3.5,AP EAMCET,1,1.4,1.4,1.4,3.5,4.8,4.8,4.8
B.S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,36,4.1,JEE Main / CBSE 12th / ISCTamilnadu 12th / CIEAT +4,8,1.85,16.0,8.93,4.1,4.25,10.0,7.12
Annamalai University,Tamil Nadu - Other,22,3.4,CBSE 12th / ISCTamilnadu 12th +1,3,1.95,2.25,2.1,3.4,3.83,3.83,3.83
"J. C. Bose University of Science and Technology, YMCA",Faridabad,17,3.6,JEE Main / HSTES,2,86.14,2.97,44.56,3.6,6.0,6.0,6.0
Indira Gandhi Delhi Technical University for Women (IGDTUW),Delhi,9,4.1,JEE Main / CBSE 12th / ISC +2,5,7.0,8.77,7.88,4.6,,,
GLA University,Mathura,37,4.1,JEE Main / GLAETCUET +2,4,5.58,9.9,7.74,4.1,5.5,5.5,5.5
Dayalbagh Educational Institute [DEI],Agra,1,3.8,JEE Main,1,27.84,27.84,27.84,3.8,5.2,5.2,5.2
GIET University,Gunupur,30,4.1,JEE Main / GIETEECBSE 12th / ISCOdisha CHSE +4,7,2.7,7.92,5.31,4.1,4.8,4.8,4.8
Institute of Infrastructure Technology Research and Management,Ahmedabad,4,3.7,JEE Main / GUJCET,2,5.88,5.88,5.88,3.7,4.12,4.12,4.12
Dr. M.G.R. Educational and Research Institute,Chennai,20,3.6,CSABJEE Main,1,2.7,3.2,2.95,3.6,6.9,6.9,6.9
Jaypee University of Information Technology,Solan,7,3.8,JEE Main,1,12.86,12.87,12.86,3.8,5.0,5.0,5.0
Jamia Hamdard,Delhi,4,3.6,JEE Main / NEETCBSE 12th / ISC +2,5,6.4,9.6,8.0,3.6,4.87,4.87,4.87
JSS Science and Technology University,Mysore,18,4.1,COMEDK UGETKCET,1,3.86,10.46,7.16,4.1,7.2,9.0,8.1
Indian Institute of Petroleum and Energy,Visakhapatnam,2,4.1,AP EAMCETJEE Advanced,1,6.0,6.0,6.0,4.3,,,
"Centurion University of Technology and Management, Paralakhemundi",Orissa - Other,9,3.9,CUEECBSE 12th / ISCOdisha CHSE +3,5,4.4,6.0,5.2,3.9,4.0,4.0,4.0
REVA University,Bangalore,23,4.2,JEE Main / COMEDK UGETKCETREVA CETUni-GAUGEJEE Advanced +5,7,3.86,6.75,5.3,3.8,,,
Vishwakarma Institute of Technology,Pune,13,4.0,MHT CETJEE Main,1,4.88,6.5,5.69,4.0,6.7,7.0,6.85
